"Item type","Authors","Editors","Title","Journal","Journal (full title)","Book title","Website name","Proceedings title","Source","How published","Publication year","Volume","Issue","Pages","Folders filed in","Labels filed in","Institution","Number","Publisher","Publisher place","Conference","Conference location","Conference date","Date published","Date","Date accessed","ISBN","ISBN (alt.)","ISSN","ISSN (alt.)","URLs","DOI","PMID","Arxiv ID","Associated DOI","Abstract","Keywords","Notes","Copyright","Affiliation","Language","Subtype","Series","Series number","Archive prefix","Eprint ID","Primary class","Page count","University","Department","Collection","Inventors","Assignee","Issuing authority","Patent number","Date filed","Type of patent","Issuing office full name","Application number","Presenter","Attachments","University place","Level of thesis","Series Number","Library catalog/database"
"Website","Digital W","","Ultrastar DC HC550 Product Page","","","","","","","","2023","","","","p-scailbib;All","","","","","","","","","2023","","","","","","","https://documents.westerndigital.com/content/dam/doc-library/en_us/assets/public/western-digital/collateral/data-sheet/data-sheet-ultrastar-dc-hc550.pdf","","","","","","","Transfer rate up to 269 MB/s","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Website","Llc ST","","Exos X16: Data Sheet","","","","","","","","2019","","","","All","","","","","","","","","2019","","","","","","","https://device.report/m/2a0b0fce4a8b6d2e05118ee5d2f8d408b4ae070e4f42aab03e187fff2cf2b4cb.pdf","","","","","","","Max sustained transfer rate 261 MB/s (outer zone)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Website","Llc ST","","Exos X20: Data Sheet","","","","","","","","2022","","","","p-scailbib;All","","","","","","","","","2022","","","","","","","https://www.seagate.com/files/www-content/datasheets/pdfs/exos-x20-DS2079-4-2210US-en_US.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Preprint","Tang J,Fan T,Huang C","","AutoAgent: A Fully-Automated and zero-code framework for LLM agents","","","","","","arXiv [cs.AI]","","2025","","","","All","Agentic","","","","","","","","2025-02-09","","","","","","","http://arxiv.org/abs/2502.05957","","","2502.05957","","Large Language Model (LLM) Agents have demonstrated remarkable capabilities in task automation and intelligent decision-making, driving the widespread adoption of agent development frameworks such as LangChain and AutoGen. However, these frameworks predominantly serve developers with extensive technical expertise - a significant limitation considering that only 0.03 % of the global population possesses the necessary programming skills. This stark accessibility gap raises a fundamental question: Can we enable everyone, regardless of technical background, to build their own LLM agents using natural language alone? To address this challenge, we introduce AutoAgent-a Fully-Automated and highly Self-Developing framework that enables users to create and deploy LLM agents through Natural Language Alone. Operating as an autonomous Agent Operating System, AutoAgent comprises four key components: i) Agentic System Utilities, ii) LLM-powered Actionable Engine, iii) Self-Managing File System, and iv) Self-Play Agent Customization module. This lightweight yet powerful system enables efficient and dynamic creation and modification of tools, agents, and workflows without coding requirements or manual intervention. Beyond its code-free agent development capabilities, AutoAgent also serves as a versatile multi-agent system for General AI Assistants. Comprehensive evaluations on the GAIA benchmark demonstrate AutoAgent's effectiveness in generalist multi-agent tasks, surpassing existing state-of-the-art methods. Furthermore, AutoAgent's Retrieval-Augmented Generation (RAG)-related capabilities have shown consistently superior performance compared to many alternative LLM-based solutions.","","","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","","","","","","arXiv","2502.05957","cs.AI","","","","","","","","","","","","","","All Papers/T/Tang et al. 2025 - AutoAgent - A Fully-Automated and zero-code framework for LLM agents.pdf","","","",""
"Preprint","Levi E,Kadar I","","IntellAgent: A multi-agent framework for evaluating conversational AI systems","","","","","","arXiv [cs.CL]","","2025","","","","All","Agentic","","","","","","","","2025-01-19","","","","","","","http://arxiv.org/abs/2501.11067","","","2501.11067","","Large Language Models (LLMs) are transforming artificial intelligence, evolving into task-oriented systems capable of autonomous planning and execution. One of the primary applications of LLMs is conversational AI systems, which must navigate multi-turn dialogues, integrate domain-specific APIs, and adhere to strict policy constraints. However, evaluating these agents remains a significant challenge, as traditional methods fail to capture the complexity and variability of real-world interactions. We introduce IntellAgent, a scalable, open-source multi-agent framework designed to evaluate conversational AI systems comprehensively. IntellAgent automates the creation of diverse, synthetic benchmarks by combining policy-driven graph modeling, realistic event generation, and interactive user-agent simulations. This innovative approach provides fine-grained diagnostics, addressing the limitations of static and manually curated benchmarks with coarse-grained metrics. IntellAgent represents a paradigm shift in evaluating conversational AI. By simulating realistic, multi-policy scenarios across varying levels of complexity, IntellAgent captures the nuanced interplay of agent capabilities and policy constraints. Unlike traditional methods, it employs a graph-based policy model to represent relationships, likelihoods, and complexities of policy interactions, enabling highly detailed diagnostics. IntellAgent also identifies critical performance gaps, offering actionable insights for targeted optimization. Its modular, open-source design supports seamless integration of new domains, policies, and APIs, fostering reproducibility and community collaboration. Our findings demonstrate that IntellAgent serves as an effective framework for advancing conversational AI by addressing challenges in bridging research and deployment. The framework is available at https://github.com/plurai-ai/intellagent","","","http://creativecommons.org/licenses/by/4.0/","","","","","","arXiv","2501.11067","cs.CL","","","","","","","","","","","","","","All Papers/L/Levi and Kadar 2025 - IntellAgent - A multi-agent framework for evaluating conversational AI systems.pdf","","","",""
"Preprint","Ackerman L","","Perceptions of Agentic AI in Organizations: Implications for Responsible AI and ROI","","","","","","arXiv [cs.CY]","","2025","","","","All","Agentic","","","","","","","","2025-04-15","","","","","","","http://arxiv.org/abs/2504.11564","","","2504.11564","","As artificial intelligence (AI) systems rapidly gain autonomy, the need for robust responsible AI frameworks becomes paramount. This paper investigates how organizations perceive and adapt such frameworks amidst the emerging landscape of increasingly sophisticated agentic AI. Employing an interpretive qualitative approach, the study explores the lived experiences of AI professionals. Findings highlight that the inherent complexity of agentic AI systems and their responsible implementation, rooted in the intricate interconnectedness of responsible AI dimensions and the thematic framework (an analytical structure developed from the data), combined with the novelty of agentic AI, contribute to significant challenges in organizational adaptation, characterized by knowledge gaps, a limited emphasis on stakeholder engagement, and a strong focus on control. These factors, by hindering effective adaptation and implementation, ultimately compromise the potential for responsible AI and the realization of ROI.","","","http://creativecommons.org/licenses/by-sa/4.0/","","","","","","arXiv","2504.11564","cs.CY","","","","","","","","","","","","","","All Papers/A/Ackerman 2025 - Perceptions of Agentic AI in Organizations - Implications for Responsible AI and ROI.pdf","","","",""
"Preprint","Wei J,Sun Z,Papay S,McKinney S,Han J,Fulford I,Chung HW,Passos AT,Fedus W,Glaese A","","BrowseComp: A simple yet challenging benchmark for browsing agents","","","","","","arXiv [cs.CL]","","2025","","","","All","Agentic","","","","","","","","2025-04-16","","","","","","","http://arxiv.org/abs/2504.12516","","","2504.12516","","We present BrowseComp, a simple yet challenging benchmark for measuring the ability for agents to browse the web. BrowseComp comprises 1,266 questions that require persistently navigating the internet in search of hard-to-find, entangled information. Despite the difficulty of the questions, BrowseComp is simple and easy-to-use, as predicted answers are short and easily verifiable against reference answers. BrowseComp for browsing agents can be seen as analogous to how programming competitions are an incomplete but useful benchmark for coding agents. While BrowseComp sidesteps challenges of a true user query distribution, like generating long answers or resolving ambiguity, it measures the important core capability of exercising persistence and creativity in finding information. BrowseComp can be found at https://github.com/openai/simple-evals.","","","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","","","","","","arXiv","2504.12516","cs.CL","","","","","","","","","","","","","","All Papers/W/Wei et al. 2025 - BrowseComp - A simple yet challenging benchmark for browsing agents.pdf","","","",""
"Preprint","Klein L,Potamitis N,Aydin R,West R,Gulcehre C,Arora A","","Fleet of agents: Coordinated problem solving with large language models","","","","","","arXiv [cs.CL]","","2024","","","","All","Agentic","","","","","","","","2024-05-07","","","","","","","http://arxiv.org/abs/2405.06691","","","2405.06691","","While numerous frameworks have been developed to enhance the reasoning abilities of large language models (LLMs), there is a scarcity of methods that effectively balance the trade-off between cost and quality. In this paper, we introduce Fleet of Agents (FoA), a novel and intuitive yet principled framework utilizing LLMs as agents to navigate through dynamic tree searches, employing a genetic-type particle filtering approach. FoA spawns a multitude of agents, each exploring the search space autonomously, followed by a selection phase where resampling based on a heuristic value function optimizes the balance between exploration and exploitation. This mechanism enables dynamic branching, adapting the exploration strategy based on discovered solutions. We conduct extensive experiments on three benchmark tasks, ``Game of 24'', ``Mini-Crosswords'', and ``WebShop'', utilizing four different LLMs, ``GPT-3.5'', ``GPT-4'', ``LLaMA3.2-11B'', and ``LLaMA3.2-90B''. On average across all tasks and LLMs, FoA obtains a quality improvement of ~5% while requiring only ~40% of the cost of previous SOTA methods. Notably, our analyses reveal that (1) FoA achieves the best cost-quality trade-off among all benchmarked methods and (2) FoA + LLaMA3.2-11B surpasses the Llama3.2-90B model. FoA is publicly available at https://github.com/au-clan/FoA.","","","http://creativecommons.org/licenses/by/4.0/","","","","","","arXiv","2405.06691","cs.CL","","","","","","","","","","","","","","All Papers/K/Klein et al. 2024 - Fleet of agents - Coordinated problem solving with large language models.pdf","","","",""
"Preprint","Feng KJ,Pu K,Latzke M,August T,Siangliulue P,Bragg J,Weld DS,Zhang AX,Chang JC","","Cocoa: Co-planning and co-execution with AI agents","","","","","","arXiv [cs.HC]","","2024","","","","All","Agentic","","","","","","","","2024-12-14","","","","","","","http://arxiv.org/abs/2412.10999","","","2412.10999","","Human collaboration benefits from continuous coordination -- planning, delegating tasks, sharing progress, and adjusting objectives -- to align on shared goals. However, agentic AI systems often limit users to previewing or reviewing an agent's plans for fully autonomous execution. While this may be useful for confirmation and correction, it does not support deeper collaboration between humans and AI agents. We present Cocoa, a system that introduces a novel design pattern -- interactive plans -- for collaborating with an AI agent on complex, multi-step tasks. Informed by a formative study ($n=9$), Cocoa builds on interaction designs from computational notebooks and document editors to support flexible delegation of agency through Co-planning and Co-execution, where users collaboratively compose and execute plans with an Agent. Using scientific research as a sample domain, our lab (n=16) and field deployment (n=7) studies found that Cocoa improved agent steerability without sacrificing ease-of-use compared to a strong chat baseline. Additionally, researchers valued Cocoa for real-world projects and saw the interleaving of co-planning and co-execution as an effective novel paradigm for human-AI collaboration.","","","http://creativecommons.org/licenses/by/4.0/","","","","","","arXiv","2412.10999","cs.HC","","","","","","","","","","","","","","All Papers/F/Feng et al. 2024 - Cocoa - Co-planning and co-execution with AI agents.pdf","","","",""
"Preprint","Salama R,Cai J,Yuan M,Currey A,Sunkara M,Zhang Y,Benajiba Y","","MemInsight: Autonomous Memory Augmentation for LLM Agents","","","","","","arXiv [cs.CL]","","2025","","","","All","Agentic","","","","","","","","2025-03-27","","","","","","","http://arxiv.org/abs/2503.21760","","","2503.21760","","Large language model (LLM) agents have evolved to intelligently process information, make decisions, and interact with users or tools. A key capability is the integration of long-term memory capabilities, enabling these agents to draw upon historical interactions and knowledge. However, the growing memory size and need for semantic structuring pose significant challenges. In this work, we propose an autonomous memory augmentation approach, MemInsight, to enhance semantic data representation and retrieval mechanisms. By leveraging autonomous augmentation to historical interactions, LLM agents are shown to deliver more accurate and contextualized responses. We empirically validate the efficacy of our proposed approach in three task scenarios; conversational recommendation, question answering and event summarization. On the LLM-REDIAL dataset, MemInsight boosts persuasiveness of recommendations by up to 14%. Moreover, it outperforms a RAG baseline by 34% in recall for LoCoMo retrieval. Our empirical results show the potential of MemInsight to enhance the contextual performance of LLM agents across multiple tasks.","","","http://creativecommons.org/licenses/by-nc-nd/4.0/","","","","","","arXiv","2503.21760","cs.CL","","","","","","","","","","","","","","All Papers/S/Salama et al. 2025 - MemInsight - Autonomous Memory Augmentation for LLM Agents.pdf","","","",""
"Conference paper","Leighton L","","No title","","","","","","","","2013","","","1-1","All","Agentic","","","","","","","","2013","","2025-07-15","","","","","https://openreview.net/pdf?id=yYQLvofQ1k;http://dx.doi.org/10.1192/s0140078900025244","10.1192/s0140078900025244","","","","One of the purposes of Demand Side Management (DSM) is to reduce peak loads due to consumers' daily consumption behavior. This can be achieved by introducing dynamic pricing for demand flattening. However, uncoordinated consumer response may lead to a “herding effect”, where the majority of consumers adjust their electricity consumption toward the same cheap time slots (hence, creating new peaks). To overcome this problem, in this paper, we explore strategies of assigning non-uniform participation rates to consumers. We employ a generic method to find a nearly-optimal distribution setting for participation rates, which can be tuned based on DSM designer's objective. Based on simulation experiments, we show that our approach is very effective as compared with existing ones in the literature. Moreover, we evaluate our approach in nonstationary environment, when consumers change their consumption behavior from day to day. In order to maximize consumer convenience, we also propose another method that assigns low participation rates to more consumers (which means less-frequent changes in consumption schedules). Based on our methods, DSM designers are able to tune their systems toward performance or consumer convenience.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Preprint","Cemri M,Pan MZ,Yang S,Agrawal LA,Chopra B,Tiwari R,Keutzer K,Parameswaran A,Klein D,Ramchandran K,Zaharia M,Gonzalez JE,Stoica I","","Why Do Multi-Agent LLM Systems Fail?","","","","","","arXiv [cs.AI]","","2025","","","","All","Agentic","","","","","","","","2025-03-17","","","","","","","http://arxiv.org/abs/2503.13657","","","2503.13657","","Despite growing enthusiasm for Multi-Agent LLM Systems (MAS), their performance gains on popular benchmarks often remain minimal compared with single-agent frameworks. This gap highlights the need to systematically analyze the challenges hindering MAS effectiveness. We present MAST (Multi-Agent System Failure Taxonomy), the first empirically grounded taxonomy designed to understand MAS failures. We analyze seven popular MAS frameworks across over 200 tasks, involving six expert human annotators. Through this process, we identify 14 unique failure modes, organized into 3 overarching categories, (i) specification issues, (ii) inter-agent misalignment, and (iii) task verification. MAST emerges iteratively from rigorous inter-annotator agreement studies, achieving a Cohen's Kappa score of 0.88. To support scalable evaluation, we develop a validated LLM-as-a-Judge pipeline integrated with MAST. We leverage two case studies to demonstrate MAST's practical utility in analyzing failures and guiding MAS development. Our findings reveal that identified failures require more complex solutions, highlighting a clear roadmap for future research. We open source our comprehensive dataset and LLM annotator to facilitate further development of MAS.","","","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","","","","","","arXiv","2503.13657","cs.AI","","","","","","","","","","","","","","All Papers/C/Cemri et al. 2025 - Why Do Multi-Agent LLM Systems Fail.pdf","","","",""
"Journal article","Peng W,Liu H,Li R,Zhou Z,Xiong W","","WorkTeam: Constructing workflows from natural language with multi-agents","alphaXiv","","","","","","","2025","","","","All","Agentic","","","arXiv","","","","","2025-03-28","","2025-07-15","","","","","https://www.alphaxiv.org/overview/2503.22473v1;https://www.alphaxiv.org/abs/67ea13803a235fbda971628f","","","","","Workflows play a crucial role in enhancing enterprise efficiency by orchestrating complex processes with multiple tools or components. However, hand-crafted workflow construction requires expert knowledge, presenting significant technical barriers. Recent advancements in Large Language Models (LLMs) have improved the generation of workflows from natural language instructions (aka NL2Workflow), yet existing single LLM agent-based methods face performance degradation on complex tasks due to the need for specialized knowledge and the strain of task-switching. To tackle these challenges, we propose WorkTeam, a multi-agent NL2Workflow framework comprising a supervisor, orchestrator, and filler agent, each with distinct roles that collaboratively enhance the conversion process. As there are currently no publicly available NL2Workflow benchmarks, we also introduce the HW-NL2Workflow dataset, which includes 3,695 real-world business samples for training and evaluation. Experimental results show that our approach significantly increases the success rate of workflow construction, providing a novel and effective solution for enterprise NL2Workflow services.","","","","","en","","","","","","","","","","","","","","","","","","","","","","","",""
"Preprint","Tur AD,Meade N,Lù XH,Zambrano A,Patel A,Durmus E,Gella S,Stańczak K,Reddy S","","SafeArena: Evaluating the safety of autonomous web agents","","","","","","arXiv [cs.LG]","","2025","","","","All","Agentic","","","","","","","","2025-03-06","","","","","","","http://arxiv.org/abs/2503.04957","","","2503.04957","","LLM-based agents are becoming increasingly proficient at solving web-based tasks. With this capability comes a greater risk of misuse for malicious purposes, such as posting misinformation in an online forum or selling illicit substances on a website. To evaluate these risks, we propose SafeArena, the first benchmark to focus on the deliberate misuse of web agents. SafeArena comprises 250 safe and 250 harmful tasks across four websites. We classify the harmful tasks into five harm categories -- misinformation, illegal activity, harassment, cybercrime, and social bias, designed to assess realistic misuses of web agents. We evaluate leading LLM-based web agents, including GPT-4o, Claude-3.5 Sonnet, Qwen-2-VL 72B, and Llama-3.2 90B, on our benchmark. To systematically assess their susceptibility to harmful tasks, we introduce the Agent Risk Assessment framework that categorizes agent behavior across four risk levels. We find agents are surprisingly compliant with malicious requests, with GPT-4o and Qwen-2 completing 34.7% and 27.3% of harmful requests, respectively. Our findings highlight the urgent need for safety alignment procedures for web agents. Our benchmark is available here: https://safearena.github.io","","","http://creativecommons.org/licenses/by/4.0/","","","","","","arXiv","2503.04957","cs.LG","","","","","","","","","","","","","","All Papers/T/Tur et al. 2025 - SafeArena - Evaluating the safety of autonomous web agents.pdf","","","",""
