file_name,title,venue,year,tags
2025-01-18-pdf-1-TechAI-Goolge-whitep... - 2025-01-18-pdf-1-TechAI-Goolge-whitepaper_Prompt Engineering_v4-af36dcc7a49bb7269a58b1c9b89a8ae1.pdf,2025-01-18-pdf-1-TechAI-Goolge-whitepaper_Prompt Engineering_v4-af36dcc7a49bb7269a58b1c9b89a8ae1.pdf,,,
Dalal et al. 2025 - One-minute video generation with test-Time Training.pdf,One-minute video generation with test-Time Training,arXiv [cs.CV],2025,
Ai et al. 2025 - Rethinking Reflection in Pre-Training.pdf,Rethinking Reflection in Pre-Training,arXiv [cs.CL],2025,
Ammons et al. - Improving encrypted deduplication using segment chunks and index locality.pdf,Improving encrypted deduplication using segment chunks and index locality,ACM Trans. Storage,,
Hu et al. 2025 - Open-Reasoner-Zero - An open source approach to scaling up reinforcement learning on the base model.pdf,Open-Reasoner-Zero: An open source approach to scaling up reinforcement learning on the base model,arXiv [cs.LG],2025,
Gan et al. 2025 - Coupling secret sharing with decentralized server-aided encryption in encrypted deduplication.pdf,Coupling secret sharing with decentralized server-aided encryption in encrypted deduplication,Appl. Sci. (Basel),2025,
Lucani et al. 2020 - Secure generalized deduplication via multi-key revealing encryption.pdf,Secure generalized deduplication via multi-key revealing encryption,,2020,
Li et al. - An Enhanced Physical-Locality Deduplication System for Space Efficiency.pdf,An Enhanced Physical-Locality Deduplication System for Space Efficiency,,,
Geiping et al. 2025 - Scaling up test-time compute with latent reasoning - A recurrent depth approach.pdf,Scaling up test-time compute with latent reasoning: A recurrent depth approach,arXiv [cs.LG],2025,
Jiang 2019 - RapidCDC - Leveraging Duplicate Locality Accelerate Chunking CDC-Based Deduplication Systems.pdf,RapidCDC: Leveraging Duplicate Locality Accelerate Chunking CDC-Based Deduplication Systems,,2019,
Gan et al. 2025 - Coupling secret sharing with decentralized server-aided encryption in encrypted deduplication.pdf,Coupling secret sharing with decentralized server-aided encryption in encrypted deduplication,Appl. Sci. (Basel),2025,
DeepSeek-AI et al. 2024 - DeepSeek-V3 Technical Report.pdf,DeepSeek-V3 Technical Report,arXiv [cs.CL],2024,
DeepSeek-AI et al. 2025 - DeepSeek-R1 - Incentivizing Reasoning Capability in LLMs via Reinforcement Learning.pdf,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,arXiv [cs.CL],2025,
Mao et al. 2014 - Read-performance optimization for deduplication-based storage systems in the cloud.pdf,Read-performance optimization for deduplication-based storage systems in the cloud,ACM Trans. Storage,2014,SSD
Zhang et al. 2024 - Design and implementation of deduplication on F2FS.pdf,Design and implementation of deduplication on F2FS,ACM Trans. Storage,2024,SSD
P4TechReport.pdf - P4TechReport.pdf,P4TechReport.pdf,,,
Guo and Xian 2024 - AF-dedup - Secure encrypted data deduplication based on adaptive dynamic Merkle hash forest PoW for cloud storage.pdf,AF-dedup: Secure encrypted data deduplication based on adaptive dynamic Merkle hash forest PoW for cloud storage,IEEE Trans. Industr. Inform.,2024,
Fu et al. 2018 - A simulation analysis of redundancy and reliability in primary storage deduplication.pdf,A simulation analysis of redundancy and reliability in primary storage deduplication,IEEE Trans. Comput.,2018,
Nayak and Patgiri 2019 - Dr. Hadoop - In search of a needle in a haystack.pdf,Dr. Hadoop: In search of a needle in a haystack,,2019,
Kolosov et al. 2020 - Benchmarking in the dark - On the absence of comprehensive edge datasets.pdf,Benchmarking in the dark: On the absence of comprehensive edge datasets,HotEdge,2020,
Li et al. 2020 - Improving the restore performance via physical-locality middleware for backup systems.pdf,Improving the restore performance via physical-locality middleware for backup systems,Middleware '20: 21st International Middleware Conference,2020,
Wong et al. 2023 - Dataset similarity detection for global deduplication in the DD file system.pdf,Dataset similarity detection for global deduplication in the DD file system,2023 IEEE 39th International Conference on Data Engineering (ICDE),2023,
Richardson 2024 - Enhancing Data Recovery in Deduplication Backup Systems - A Novel Rewriting Algorithm to Minimize Fragmentation Effects.pdf,Enhancing Data Recovery in Deduplication Backup Systems: A Novel Rewriting Algorithm to Minimize Fragmentation Effects,Journal of Computer Science and Software Applications,2024,
Sun et al. 2018 - Cluster and single-node analysis of long-term deduplication patterns.pdf,Cluster and single-node analysis of long-term deduplication patterns,ACM Trans. Storage,2018,
Yao et al. 2022 - FASR - An efficient feature-aware deduplication method in distributed storage systems.pdf,FASR: An efficient feature-aware deduplication method in distributed storage systems,IEEE Access,2022,
Dagnaw et al. 2023 - SACRO - Solid state drive‐assisted chunk caching for restore optimization.pdf,SACRO : Solid state drive‐assisted chunk caching for restore optimization,Concurr. Comput.,2023,
Lin et al. 2015 - Using deduplicating storage for efficient disk image deployment.pdf,Using deduplicating storage for efficient disk image deployment,10th EAI International Conference on Testbeds and Research Infrastructures for the Development of Networks & Communities,2015,
Zuo et al. 2019 - SRSC - Improving restore performance for deduplication-based storage systems.pdf,SRSC: Improving restore performance for deduplication-based storage systems,ZTE Communications,2019,
Fu et al. 2016 - A simulation analysis of reliability in primary storage deduplication.pdf,A simulation analysis of reliability in primary storage deduplication,2016 IEEE International Symposium on Workload Characterization (IISWC),2016,
Zhou et al. 2018 - DARM - A deduplication-aware redundancy management approach for reliable-enhanced storage systems.pdf,DARM: A deduplication-aware redundancy management approach for reliable-enhanced storage systems,,2018,
Gan et al. 2023 - Enabling encrypted delta compression for outsourced storage systems via preserving similarity.pdf,Enabling encrypted delta compression for outsourced storage systems via preserving similarity,2023 IEEE 41st International Conference on Computer Design (ICCD),2023,
Hua et al. 2024 - Blockchain-assisted secure deduplication for large-scale cloud storage service.pdf,Blockchain-assisted secure deduplication for large-scale cloud storage service,IEEE Trans. Serv. Comput.,2024,
Dobre et al. 2014 - Hybris - Robust Hybrid Cloud Storage.pdf,Hybris: Robust Hybrid Cloud Storage,SOCC '14: ACM Symposium on Cloud Computing,2014,
Wu et al. 2024 - A randomized encryption deduplication method against frequency attack.pdf,A randomized encryption deduplication method against frequency attack,J. Inf. Secur. Appl.,2024,
Yu et al. 2017 - PDFS - Partially Dedupped File System for Primary Workloads.pdf,PDFS: Partially Dedupped File System for Primary Workloads,IEEE Trans. Parallel Distrib. Syst.,2017,
Boneh and Franklin 2003 - Identity-Based Encryption from the Weil Pairing.pdf,Identity-Based Encryption from the Weil Pairing,SIAM J. Comput.,2003,
Zhang et al. 2020 - SecDedup - Secure Encrypted Data Deduplication With Dynamic Ownership Updating.pdf,SecDedup: Secure Encrypted Data Deduplication With Dynamic Ownership Updating,IEEE Access,2020,Ownership Management
Unknown Title - Unknown Title.pdf,,,,
Yu 2016 - XDedup - Efficient Provably-Secure Cross-User Chunk-Level Client-Side Deduplicated Cloud Storage of Encrypted Data.pdf,XDedup: Efficient Provably-Secure Cross-User Chunk-Level Client-Side Deduplicated Cloud Storage of Encrypted Data,,2016,PoW
Guo et al. 2023 - Two-party interactive secure deduplication with efficient data ownership management in cloud storage.pdf,Two-party interactive secure deduplication with efficient data ownership management in cloud storage,Journal of Information Security and Applications,2023,Ownership Management
Zhou et al. 2022 - An efficient encrypted deduplication scheme with security-enhanced proof of ownership in edge computing.pdf,An efficient encrypted deduplication scheme with security-enhanced proof of ownership in edge computing,"BenchCouncil Transactions on Benchmarks, Standards and Evaluations",2022,PoW
Yuan et al. 2022 - Secure Cloud Data Deduplication with Efficient Re-Encryption.pdf,Secure Cloud Data Deduplication with Efficient Re-Encryption,IEEE Trans. Serv. Comput.,2022,
Wu et al. 2023 - A lightweight encrypted deduplication scheme supporting backup.pdf,A lightweight encrypted deduplication scheme supporting backup,Int. J. High Perform. Syst. Archit.,2023,
Gharaibeh et al. 2010 - A GPU accelerated storage system.pdf,A GPU accelerated storage system,Proceedings of the 19th ACM International Symposium on High Performance Distributed Computing,2010,GPU
Anand et al. 2009 - Redundancy in network traffic - findings and implications.pdf,Redundancy in network traffic: findings and implications,Proceedings of the eleventh international joint conference on Measurement and modeling of computer systems,2009,
Ha et al. 2023 - Threat Model and Defense Scheme for Side-Channel Attacks in Client-Side Deduplication.pdf,Threat Model and Defense Scheme for Side-Channel Attacks in Client-Side Deduplication,Tsinghua Sci. Technol.,2023,
Lucani et al. 2020 - Secure Generalized Deduplication via Multi-Key Revealing Encryption.pdf,Secure Generalized Deduplication via Multi-Key Revealing Encryption,Security and Cryptography for Networks,2020,
Ateniese and de Medeiros 2005 - On the key exposure problem in chameleon hashes.pdf,On the key exposure problem in chameleon hashes,,2005,PoW
Ateniese and de Medeiros 2004 - Identity-Based Chameleon Hash and Applications.pdf,Identity-Based Chameleon Hash and Applications,Financial Cryptography,2004,PoW
Merkle 1990 - A Certified Digital Signature.pdf,A Certified Digital Signature,Advances in Cryptology — CRYPTO’ 89 Proceedings,1990,PoW
Halevi et al. 2011 - Proofs of ownership in remote storage systems.pdf,Proofs of ownership in remote storage systems,Proceedings of the 18th ACM conference on Computer and communications security,2011,PoW
He et al. 2020 - Dsync - a Lightweight Delta Synchronization Approach for Cloud Storage Services.pdf,Dsync: a Lightweight Delta Synchronization Approach for Cloud Storage Services,The 36th International Conference on Massive Storage Systems and Technology (MSST'20),2020,Incremental Backup/Sync
Wu et al. 2023 - FASTSync - A FAST Delta Sync Scheme for Encrypted Cloud Storage in High-bandwidth Network Environments.pdf,FASTSync: A FAST Delta Sync Scheme for Encrypted Cloud Storage in High-bandwidth Network Environments,ACM Trans. Storage,2023,Incremental Backup/Sync
Ha et al. - Scalable and Popularity-Based Secure Deduplication Schemes With Fully Random Tags.pdf,Scalable and Popularity-Based Secure Deduplication Schemes With Fully Random Tags,IEEE Trans. Dependable Secure Comput.,,
Song et al. 2024 - LSDedup - Layered Secure Deduplication for Cloud Storage.pdf,LSDedup: Layered Secure Deduplication for Cloud Storage,IEEE Trans. Comput.,2024,
Ha et al. 2023 - A Secure Client-Side Deduplication Scheme Based on Updatable Server-Aided Encryption.pdf,A Secure Client-Side Deduplication Scheme Based on Updatable Server-Aided Encryption,IEEE Transactions on Cloud Computing,2023,
Wu 2019 - Towards integrating learning algorithms into computer system design.pdf,Towards integrating learning algorithms into computer system design,,2019,MLL
Douglis et al. 2011 - Content-aware load balancing for distributed backup.pdf,Content-aware load balancing for distributed backup,USENIX Large Install Syst Adm Conf,2011,
Storer et al. 2008 - Secure data deduplication.pdf,Secure data deduplication,Proceedings of the 4th ACM international workshop on Storage security and survivability,2008,CE/MLE
Sinha and Bajaj 2021 - 18 - Data deduplication applications in cognitive science and computer vision research.pdf,18 - Data deduplication applications in cognitive science and computer vision research,,2021,MLL
Feldman et al. 2013 - Effective use of non-blocking data structures in a deduplication application.pdf,Effective use of non-blocking data structures in a deduplication application,"Proceedings of the 2013 companion publication for conference on Systems, programming, & applications: software for humanity",2013,
Cox et al. 2003 - Pastiche - making backup cheap and easy.pdf,Pastiche: making backup cheap and easy,Oper. Syst. Rev.,2003,Chunking
Jia et al. 2022 - An enhanced MinHash encryption scheme for encrypted deduplication.pdf,An enhanced MinHash encryption scheme for encrypted deduplication,"2022 IEEE International Conference on Trust, Security and Privacy in Computing and Communications (TrustCom)",2022,Frequency
"Hu et al. 2010 - The good, the bad and the ugly of consumer cloud storage.pdf","The good, the bad and the ugly of consumer cloud storage",Oper. Syst. Rev.,2010,
Quick and Choo 2014 - Google Drive - Forensic analysis of data remnants.pdf,Google Drive: Forensic analysis of data remnants,Journal of Network and Computer Applications,2014,
Zheng et al. - Secure Batch Deduplication without Dual Servers in Backup System.pdf,Secure Batch Deduplication without Dual Servers in Backup System,IEEE Trans. Dependable Secure Comput.,,
Broder et al. 1998 - Min-wise independent permutations (extended abstract).pdf,Min-wise independent permutations (extended abstract),Proceedings of the thirtieth annual ACM symposium on Theory of computing,1998,
Unknown Title - Unknown Title.pdf,,,,
Bhagwat et al. 2007 - Content-based document routing and index partitioning for scalable similarity-based searches in a large corpus.pdf,Content-based document routing and index partitioning for scalable similarity-based searches in a large corpus,Proceedings of the 13th ACM SIGKDD international conference on Knowledge discovery and data mining,2007,
Dabek et al. 2001 - Wide-area cooperative storage with CFS.pdf,Wide-area cooperative storage with CFS,the eighteenth ACM symposium,2001,
Bolosky et al. 2000 - Single instance storage in Windows® 2000.pdf,Single instance storage in Windows® 2000,4th USENIX Windows Systems Symposium,2000,
Spring and Wetherall 2000 - A protocol-independent technique for eliminating redundant network traffic.pdf,A protocol-independent technique for eliminating redundant network traffic,"Proceedings of the conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",2000,
Brin et al. 1995 - Copy detection mechanisms for digital documents.pdf,Copy detection mechanisms for digital documents,Proceedings of the 1995 ACM SIGMOD international conference on Management of data,1995,
Jiang et al. 2023 - FuzzyDedup - Secure fuzzy deduplication for cloud storage.pdf,FuzzyDedup: Secure fuzzy deduplication for cloud storage,IEEE Trans. Dependable Secure Comput.,2023,
Quinlan and Dorward 2002 - Venti - A new approach to archival data storage.pdf,Venti: A new approach to archival data storage,Conference on File and Storage Technologies (FAST 02),2002,client-side deduplication;Fixed Size Blocks
Xu et al. 2019 - Lipa - A learning-based indexing and prefetching approach for data deduplication.pdf,Lipa: A learning-based indexing and prefetching approach for data deduplication,2019 35th Symposium on mass storage systems and technologies (MSST),2019,
Juels and Kaliski 2007 - Pors - proofs of retrievability for large files.pdf,Pors: proofs of retrievability for large files,Proceedings of the 14th ACM conference on Computer and communications security,2007,
Cidon et al. 2013 - Copysets - Reducing the frequency of data loss in cloud storage.pdf,Copysets: Reducing the frequency of data loss in cloud storage,2013 USENIX Annual Technical Conference (USENIX ATC 13),2013,
De Bruin and Hoepman - Analyzing the Tahoe for privacy friendly replication and file sharing.pdf,Analyzing the Tahoe for privacy friendly replication and file sharing,,,
Ammons et al. 2022 - NAS_2022_SCAIL_CORRECTED.pdf,SCAIL: Encrypted Deduplication With Segment Chunks and Index Locality,"2022 IEEE International Conference on Networking, Architecture and Storage (NAS)",2022,
ACM_P_SCAIL_RC.pdf - ACM_P_SCAIL_RC.pdf,ACM_P_SCAIL_RC.pdf,,,
Maron et al. 2019 - Should PARSEC Benchmarks be More Parametric - A Case Study with Dedup.pdf,Should PARSEC Benchmarks be More Parametric? A Case Study with Dedup,"2019 27th Euromicro International Conference on Parallel, Distributed and Network-Based Processing (PDP)",2019,
Yang et al. 2010 - Scalable high performance de-duplication backup via hash join.pdf,Scalable high performance de-duplication backup via hash join,Journal of Zhejiang University SCIENCE C,2010,
Mseddi et al. 2021 - Efficient replica migration scheme for distributed cloud storage systems.pdf,Efficient replica migration scheme for distributed cloud storage systems,IEEE Trans. Cloud Comput.,2021,
Luo et al. 2020 - Boafft - Distributed Deduplication for Big Data Storage in the Cloud.pdf,Boafft: Distributed Deduplication for Big Data Storage in the Cloud,IEEE Transactions on Cloud Computing,2020,Similarity/Resemblance
Ma et al. 2022 - A Secure and Efficient Data Deduplication Scheme with Dynamic Ownership Management in Cloud Computing.pdf,A Secure and Efficient Data Deduplication Scheme with Dynamic Ownership Management in Cloud Computing,"2022 IEEE International Performance, Computing, and Communications Conference (IPCCC)",2022,
Liu et al. 2016 - A Delayed Container Organization Approach to Improve Restore Speed for Deduplication Systems.pdf,A Delayed Container Organization Approach to Improve Restore Speed for Deduplication Systems,IEEE Trans. Parallel Distrib. Syst.,2016,
Eddelbuettel 2022 - A Brief Introduction to Redis.pdf,A Brief Introduction to Redis,arXiv [stat.CO],2022,
Moritz et al. 2017 - Ray - A Distributed Framework for Emerging AI Applications.pdf,Ray: A Distributed Framework for Emerging AI Applications,arXiv [cs.DC],2017,
Anwar et al. 2018 - Improving docker registry design based on production workload analysis.pdf,Improving docker registry design based on production workload analysis,16th ${$USENIX$}$ Conference on File and Storage Technologies (${$FAST$}$ 18),2018,
Zhang et al. 2012 - Improved deduplication through parallel Binning.pdf,Improved deduplication through parallel Binning,2012 IEEE 31st International Performance Computing and Communications Conference (IPCCC),2012,
Saharan et al. 2020 - QuickDedup - Efficient VM deduplication in cloud computing environments.pdf,QuickDedup: Efficient VM deduplication in cloud computing environments,J. Parallel Distrib. Comput.,2020,
Zou et al. 2021 - Odess - Speeding up Resemblance Detection for Redundancy Elimination by Fast Content-Defined Sampling.pdf,Odess: Speeding up Resemblance Detection for Redundancy Elimination by Fast Content-Defined Sampling,2021 IEEE 37th International Conference on Data Engineering (ICDE),2021,Similarity/Resemblance
Xue et al. 2021 - A Comprehensive Study of Present Data Deduplication.pdf,A Comprehensive Study of Present Data Deduplication,"2021 IEEE 23rd Int Conf on High Performance Computing & Communications; 7th Int Conf on Data Science & Systems; 19th Int Conf on Smart City; 7th Int Conf on Dependability in Sensor, Cloud & Big Data Systems & Application (HPCC/DSS/SmartCity/DependSys)",2021,
Li et al. 2022 - Cross-domain Resemblance Detection based on Meta-learning for Cloud Storage.pdf,Cross-domain Resemblance Detection based on Meta-learning for Cloud Storage,"2022 IEEE International Performance, Computing, and Communications Conference (IPCCC)",2022,
Xia et al. 2023 - The Design of Fast and Lightweight Resemblance Detection for Efficient Post-Deduplication Delta Compression.pdf,The Design of Fast and Lightweight Resemblance Detection for Efficient Post-Deduplication Delta Compression,ACM Trans. Storage,2023,
Ye et al. 2021 - Chunk Content is not Enough - Chunk-Context Aware Resemblance Detection for Deduplication Delta Compression.pdf,Chunk Content is not Enough: Chunk-Context Aware Resemblance Detection for Deduplication Delta Compression,arXiv [cs.DC],2021,Similarity/Resemblance
Douglis and Iyengar 2003 - Application-specific Delta-encoding via Resemblance Detection.pdf,Application-specific Delta-encoding via Resemblance Detection,"USENIX annual technical conference, general track",2003,Similarity/Resemblance
Long et al. 2020 - A similarity clustering-based deduplication strategy in cloud storage systems.pdf,A similarity clustering-based deduplication strategy in cloud storage systems,2020 IEEE 26th International Conference on Parallel and Distributed Systems (ICPADS),2020,Similarity/Resemblance
Godavari et al. 2021 - Hybrid Deduplication System—A Block-Level Similarity-Based Approach.pdf,Hybrid Deduplication System—A Block-Level Similarity-Based Approach,IEEE Syst. J.,2021,Similarity/Resemblance
Shynu et al. 2020 - A secure data deduplication system for integrated cloud-edge networks.pdf,A secure data deduplication system for integrated cloud-edge networks,J. Cloud Comput. Adv. Syst. Appl.,2020,
ycsb-overview.pdf - ycsb-overview.pdf,ycsb-overview.pdf,,,
Zhang et al. 2017 - Resemblance and mergence based indexing for high performance data deduplication.pdf,Resemblance and mergence based indexing for high performance data deduplication,J. Syst. Softw.,2017,Similarity/Resemblance
Cooper et al. 2010 - Benchmarking cloud serving systems with YCSB.pdf,Benchmarking cloud serving systems with YCSB,Proceedings of the 1st ACM symposium on Cloud computing,2010,
"Zhang et al. 2015 - LERD, a locality enhanced and resemblance based deduplication scheme for large data sets.pdf","LERD, a locality enhanced and resemblance based deduplication scheme for large data sets","2015 IEEE International Conference on Signal Processing, Communications and Computing (ICSPCC)",2015,Similarity/Resemblance
Geer 2008 - Reducing the Storage Burden via Data Deduplication.pdf,Reducing the Storage Burden via Data Deduplication,Computer,2008,
Mohana Chelvan and Perumal 2017 - A comparative analysis of feature selection stability measures.pdf,A comparative analysis of feature selection stability measures,2017 International Conference on Trends in Electronics and Informatics (ICOEI),2017,
Drago et al. 2012 - Inside dropbox.pdf,Inside dropbox,IMC '12: Internet Measurement Conference,2012,
Yu 2023 - Counteracting Side Channels in Cross-user Client-side Deduplicated Cloud Storage.pdf,Counteracting Side Channels in Cross-user Client-side Deduplicated Cloud Storage,IEEE Internet of Things Journal,2023,
Vrable et al. 2009 - Cumulus - Filesystem backup to the cloud.pdf,Cumulus: Filesystem backup to the cloud,ACM Trans. Storage,2009,
Kwon et al. 2017 - TraceTracker - Hardware - software co-evaluation for large-scale I - O workload reconstruction.pdf,TraceTracker: Hardware/software co-evaluation for large-scale I/O workload reconstruction,2017 IEEE International Symposium on Workload Characterization (IISWC),2017,
Kotlarska et al. - InftyDedup - Scalable and Cost-Effective Cloud Tiering with Deduplication.pdf,InftyDedup: Scalable and Cost-Effective Cloud Tiering with Deduplication,,,Accelerate
Fu et al. 2011 - AA-Dedupe - An Application-Aware Source Deduplication Approach for Cloud Backup Services in the Personal Computing Environment.pdf,AA-Dedupe: An Application-Aware Source Deduplication Approach for Cloud Backup Services in the Personal Computing Environment,2011 IEEE International Conference on Cluster Computing,2011,
Fu et al. 2014 - Application-Aware Local-Global Source Deduplication for Cloud Backup Services of Personal Storage.pdf,Application-Aware Local-Global Source Deduplication for Cloud Backup Services of Personal Storage,IEEE Trans. Parallel Distrib. Syst.,2014,
Sehat et al. 2021 - Yggdrasil - Privacy-Aware Dual Deduplication in Multi Client Settings.pdf,Yggdrasil: Privacy-Aware Dual Deduplication in Multi Client Settings,ICC 2021 - IEEE International Conference on Communications,2021,
"Sehat et al. 2022 - Bifrost - Secure, Scalable and Efficient File Sharing System Using Dual Deduplication.pdf","Bifrost: Secure, Scalable and Efficient File Sharing System Using Dual Deduplication",arXiv [cs.CR],2022,
"Vestergaard et al. 2019 - Generalized Deduplication - Bounds, Convergence, and Asymptotic Properties.pdf","Generalized Deduplication: Bounds, Convergence, and Asymptotic Properties",2019 IEEE Global Communications Conference (GLOBECOM),2019,
Jeyaraj et al. 2018 - High-speed data deduplication using parallelized cuckoo hashing.pdf,High-speed data deduplication using parallelized cuckoo hashing,Turkish Journal of Electrical Engineering and Computer Sciences,2018,
Wu et al. 2023 - A lightweight encrypted deduplication scheme supporting backup.pdf,A lightweight encrypted deduplication scheme supporting backup,Int. J. High Perform. Syst. Archit.,2023,
Santos et al. 2007 - A Scalable Parallel Deduplication Algorithm.pdf,A Scalable Parallel Deduplication Algorithm,19th International Symposium on Computer Architecture and High Performance Computing (SBAC-PAD'07),2007,
Hao et al. 2009 - A Partition-Merge Based Cache-Conscious Parallel Sorting Algorithm for CMP with Shared Cache.pdf,A Partition-Merge Based Cache-Conscious Parallel Sorting Algorithm for CMP with Shared Cache,2009 International Conference on Parallel Processing,2009,
Graefe 1994 - Sort-merge-join - an idea whose time has(h) passed.pdf,Sort-merge-join: an idea whose time has(h) passed?,Proceedings of 1994 IEEE 10th International Conference on Data Engineering,1994,
Davidson et al. 2012 - Efficient parallel merge sort for fixed and variable length keys.pdf,Efficient parallel merge sort for fixed and variable length keys,2012 Innovative Parallel Computing (InPar),2012,
Maron et al. 2019 - Should PARSEC Benchmarks be More Parametric - A Case Study with Dedup.pdf,Should PARSEC Benchmarks be More Parametric? A Case Study with Dedup,"2019 27th Euromicro International Conference on Parallel, Distributed and Network-Based Processing (PDP)",2019,
Lin et al. 2018 - HPDV - A Highly Parallel Deduplication Cluster for Virtual Machine Images.pdf,HPDV:A Highly Parallel Deduplication Cluster for Virtual Machine Images,"2018 18th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGRID)",2018,
A Review on Secure Data Deduplication... 2022 - A Review on Secure Data Deduplication - Cloud Storage Security Issue.pdf,A Review on Secure Data Deduplication: Cloud Storage Security Issue,Journal of King Saud University - Computer and Information Sciences,2022,
Xia et al. 2012 - Accelerating data deduplication by exploiting pipelining and parallelism with multicore or manycore processors.pdf,Accelerating data deduplication by exploiting pipelining and parallelism with multicore or manycore processors,Proc. 10th USENIX Conf. File Storage Technol,2012,
Chu et al. 2016 - Distributed data deduplication.pdf,Distributed data deduplication,Proceedings VLDB Endowment,2016,
Kolb et al. - Dedoop - Efficient Deduplication with Hadoop.pdf,Dedoop: Efficient Deduplication with Hadoop,,,
Dal Bianco et al. 2011 - A fast approach for parallel deduplication on multicore processors.pdf,A fast approach for parallel deduplication on multicore processors,Proceedings of the 2011 ACM Symposium on Applied Computing,2011,
Cogo et al. 2021 - GenoDedup - Similarity-based deduplication and delta-encoding for genome sequencing data.pdf,GenoDedup: Similarity-based deduplication and delta-encoding for genome sequencing data,IEEE Trans. Comput.,2021,Similarity/Resemblance
Cheng et al. 2022 - LOFS - A Lightweight Online File Storage Strategy for Effective Data Deduplication at Network Edge.pdf,LOFS: A Lightweight Online File Storage Strategy for Effective Data Deduplication at Network Edge,IEEE Trans. Parallel Distrib. Syst.,2022,
Zhang et al. 2022 - Privacy-Preserving Deduplication of Sensor Compressed Data in Distributed Fog Computing.pdf,Privacy-Preserving Deduplication of Sensor Compressed Data in Distributed Fog Computing,IEEE Trans. Parallel Distrib. Syst.,2022,
Nachman et al. 2021 - GoSeed - Optimal Seeding Plan for Deduplicated Storage.pdf,GoSeed: Optimal Seeding Plan for Deduplicated Storage,ACM Trans. Storage,2021,
Lin et al. 2022 - InDe - An inline data deduplication approach via adaptive detection of valid container utilization.pdf,InDe: An inline data deduplication approach via adaptive detection of valid container utilization,ACM Trans. Storage,2022,
